"";"human";"OTHER"
"freshwater wetland ecosystem";0;0
"Freshwater/Arctic";0;0
"Freshwater/Marine";0;0
"full-scale biogas plant";0;0
"full-scale biogas reactor";0;0
"fungal product";0;0
"Fynbos";0;0
"Gar";78;0
"Gardern";0;0
"gastric microbiome";120;0
"gastrointestinal tract";8;0
"GI";0;0
"glacier";0;0
"Glacier";0;0
"Glassland";0;0
"granular sludge obtained from a thermophilic up- flow anaerobic sludge blanket reactor";0;0
"grass";0;0
"grassland";0;0
"Grassland";0;0
"grassland biome";0;0
"Green leafs";0;51
"Greenhouse-Mesocosm";0;0
"Groundwater";0;0
"groundwater microbiome";0;0
"Gulf of Eilat";0;0
"gut";6231;1753
"Gut";423;573
"GUT";0;0
"Gut Bos taurus";0;33
"gut microbiome";366;1
"Gut microbiome";0;0
"gut(UBERON:0001007)";26;0
"habitat";0;0
"half salt water";0;0
"head";137;0
"High Alpine";0;0
"high temperature habitat";0;0
"hive";0;40
"homo sapien";1369;0
"Homo sapiens";104;0
"Homo sapiens [NCBITaxon:9606]";1;0
"horse manure";0;42
"Horse rectum";0;30
"hospital";371;0
"Hospital";1;0
"host-associated";109;297
"Host-associated";0;6
"host-associated biome";1006;328
"host-associated biome# manual or sample XML";0;4
"host-associated habitat";0;0
"host associated";0;383
"Host associated";61;119
"Host Associated";0;0
"host associated biome";88;0
"host is healthy farmed silver fox or raccoon dog";0;0
"host_assocaited";0;95
"hot spring";0;0
"Hot spring";0;0
"Hot Spring";0;0
"Hot spring water";0;0
"hot springs";0;0
"House";0;0
"human";7335;0
"Human";858;0
"human-associated";138;0
"Human-associated";752;0
"human-associated biome";1;0
"Human-associated biome";25;1
"Human-associated biome ";12;0
"human-associated habitat";6475;0
"Human-associated habitat";728;0
"human-associated habitat [ENVO:00009003]";115;0
"human-gut";2479;0
"Human-gut";110;0
"human-oral";654;0
"human airway";702;0
"Human Airway";56;0
"Human anteior nares swab from both sides";38;0
"Human associated habitat";85;0
"human BAL";42;0
